gloss_pt,gloss_en,mbj_rc_m05,mbj_rc_eppsob,mbj_rn_m05,daw_m05,daw_eppsob,daw_orth_epps,hup_m05,hup_ramepps,yhp_m05,yhp_silva
Descascar,peel,--,,--,ʃĩ̌:mʔ,ʃĩm’ [wet manioc; banana; etc.],sĩm’ [wet manioc; banana; etc.],cɯ̃̌:mʔ,,cĩmʔ,sĩim’
Descascar 1,peel,k ʼ ɔ̃p ̚; k ʼ ɔ̃b ̚,,--,k ʼ ob,kob [inga; abiu; take out of pod/hull],kôb [inga; abiu; take out of pod/hull],k ʼ obm,,--,
Descascar 2,peel,ʃo:ʃ; ʃo̰:j,,ʃɔ̰:j,--,xæp [descascar mandioca]; dæʃ [break shell – ucuqui; coco; cupuaçu],xep [descascar mandioca]; des [break shell – ucuqui; coco; cupuaçu],--,,--,
Dizer,say,nʌ̃ŋ; nʌ̃:,,---,nã̂:,nã̂,nãà,nɔ̃̂:,nohsàw,---,
Dormir,sleep,ʔɯ̴:h; ʔãh,,ʔã:h,ʔã̂:,ʔã̂,ãà,ʔɔ̃h,,ʔɔ̃h,õh
Embrulhar,wrap up,--,,c ʼ ɤʔ,c ʼ ɤʔ,cəʔ [w/ leaves; paper]; xop [in blanket],çâ’ [w/ leaves; paper]; xôp [in blanket],c ʼ ɤʔ,,--,
Empurrar,push,--,,--,tû:j,tuj,tuy,tɯ̂:j; tû:,,tɯj,tɨy
Encontrar,meet,wɯ̰:t; wɯ:d,,wɯ:d,wɯ̂:d,wəj’ (wɨ̂d chegar),wây’ (wʉʉ̀d chegar),--,,--,
Enfiar,thread on a string,ʃɯ:h; ʃɯh,,ʃɯ:h,ʃɯg,ʃɨg,sʉg,cĩŋʔ,,--,
Engasgar,choke,ga̰:k,,ga:g,kã̌k,kã̌k,kãák,kʔãk,kãk,kʔãk,kãak
Engatinhar,crawl,kʼ a̰:k; k ʼ ag,,k ʼ a:g,k ʼ ã̌:k,nôy,nôòy,k ʼ ã̰k,,k ʼ ãk,
Escorregar,slip,c ʼ adup; c ʼ adub,,c ʼ adub,--,ditxəd,ditxâd,--,,--,
Escrever,write,hɯ:ʔ; hɯʔ,,--,--,dâd,daàd,hɯʔ,hɨ̀ʼ,hɯʔ,hɨ’
Esfregar 1,scour,wu:k; wug,,--,wug,wug,wug,hĩ:kɯ̃k,,hɯ̃k,hɨ̃k
Esfregar 2,scour,c ʼ u:k ; c ʼ ug ,atsuuk,c ʼ u:g ,c ʼ ǔ:k ,cǔk [coçar],çuúk [coçar],--,,c ʼ uk,suuk
Esperar 1,wait,c ʼ adaʔ; c ʼ ada:ʔ,,c ʼ ada:ʔ,dɛʔ,dæʔ,de’,--,,--,
Esperar 2,wait,--,,--,--,,,jû:,,juʔ,yuh
Espremer mandioca,squeeze manioc 1,jugŋ; ju:h,,jugŋ,--,,,--,,--,
Espremer mandioca,squeeze manioc 2,k ʼ awo:ʔ; k ʼ awo̰:ʔ,,--,w̰ǒ:ʔ,w’ǒʔ,‘wôó’,k ʼ ow̰oʔ,köʼwöwʼ,--,
Fazer cocegas,tickle,ʃɯ̰:t; ʃɯ:d,,--,ʃî:d,ʃîd,siìd,cicî:dn,sisíd,cicidn,sisin
Fazer sexo,have sex,--,,--,ʔãn,ʔãn,ãn,ʔãn,an,ʔãn,
Feder,stink,--,,--,dɔx,dɔx,dox,ɗɔ̰h,,ɗɔ̰h,dooh
Ficar,stay,--,,--,tû:,nĩ̂,nĩì,tuh,túh,tuh,tu
Flatulencia,flatulate,du:ʃ; duʃ,,c ʼ ɯʃ,tɔʃ,tɔʃ,tos,tɔç,tóç,tɔ̂:jʰ,
Flechar,shoot with arrow,--,,--,k ʼ ḭ̃ɲ,kĩɲ,kĩnh,k ʼ igŋ,kʼí,k ʼ igŋ,
Focar,focus?,hʌ̃:j; hʌ̃:ɲ,,hã:j̃,hɔ̃̂:j̃,hɔ̃j,rõy,--,,hãj̃,
Fumar,smoke,ʔahũ:t; ʔahũ:d,,ʔahũ:d,ʔũn̰ʔ,ʔũn’,ũn’,ʔũn̰ʔ,unʼ,ʔũn̰ʔ,ũn’
