gloss_pt,gloss_en,mbj_rc_m05,mbj_rc_eppsob,mbj_rn_m05,daw_m05,daw_eppsob,daw_eppsob_pht,hup_m05,hup_ramepps,hup_ramepps_pht,yhp_m05,yhp_silva,yhp_silva_pht
Arranhar,scratch,ku?; ku?,,--,xo?:?,xo?j,xo?j,ko???,kö?j,ko?j,--,h?; ki?it,h? ki?it
Arrastar,pull; drag,ta-k?g; ta-k?g,,ta-k?g,x??:k,x??k,x??k,--,NC,NC,k?g?,käk; h??k,k?k h??k
Assar,roast,j??; j?:?,,--,ja?,ja?,ja?,j???,ye??,y???,j???,ye??,y???
Assobiar,whistle,h??:?; h??:j?; h???:?,,h??:j?,h???:j?,h???y,h???y,p??-h???: j?,,,p??-h?? j?,po?-hoy,p??h?y
Atirar,throw,bo:h; boh,,bo:h,bux,bux,bux,?u?,b?uy,mb?uy,?u?h,buuh,mbuuh
Babar 1,drool,na??e:h,,na??e:h,--,,,--,NF,NF,--,NF,NF
Babar 2,drool,--,,--,--,,,n??h?a?:w,NF,NF,n?caw,nohsa?w,n?hsa?w
Balançar,swing,--,,--,jo?:j?,jo?j’,jo?j’,jo?:j?,yo?y?,y??y?,joj?,yöy?,yoy?
Banhar,bathe; swim,c??bm,a-tso?m,c??bm,c??bm,c?m,c?bm,c?????:m,s?o?m,s???m,c????m,so?om,s???m
Barulho,noise,--,,--,--,,,h???:h,ho??h,h???h,h???:h,ho?hoh; huh,h??h?h huh
Beber,drink,??:k; ??:g?,e-ÿÿk,??g?,??g,??g,??g,??g?,äg,?g?,??g?,äg,?g
Beijar,kiss,c?u:p; c?u:b,,c?u:b,c?u??:??,cu???’,cu???’,c?u??p,s?u??p,s?u??p,c?u??p,su?up,su?up
Beliscar 1,pinch,wa-?i:?; ?i?:?,,?i?:h; ?i:h,--,,,--,NF,NF,--,NF,NF
Beliscar 2,pinch,--,,--,?i?:b,?i?b,?i?b,ci??:m?,ti?m?; si?m?,ti?m? si?m?,ci?m?,si?im’,si?im’
Bocejar 1,yawn,habm; haw,nooke-ham,habm,--,,,--,NF,NF,--,NF,NF
Bocejar 2,yawn,--,,--,n??hk?a??:?,n??hka?,n??hka?,n??hk?a??:?,noh?ka?,n?h?ka?,n??hk?a?h,noh ka,n?h ka
Brigar,fight,?o:bm,e-oom,--,?u??:m,?u??m [bater],?u??m bate?,?u?hm ??h,u?hm e?h,u?hm ??h,?u?m,u?h-u?m,u?hu?m
Brilhar,shine; be bright,bag,,bag,b??; b??:g,bæ?g,b??g,?a?g?,b?ag,mb?ag?,?a??,bee?,mb?? ?
Buscar agua,fetch water,k??p; k??b,,k??p; k??b,k??p,k?p,k?p,k???p,k?o?p,k???p,k???p,ka?; koop,ka ? k??p
Cair,fall,--,,--,n??x,n??x,n??x,n??h,no?h,n??h,n??h,noh hi,n?h hi
Cantar,sing,j?:bm; j?bm,ejäm,j?:bm,ja?m,ja?m h??h,ja?m h??h,ja?m,yam,yam,ja?m,ya?m,ya?m
Capinar,cut weeds,?ok;  ?og,a-sok,?og,--,?æ??,????,--,se??ç,s???ç,c?k,säk,s?k
Carregar,carry (on back?),??:t; ???:d,a-sëët,??:d,?e?:t,?e?t,?e?t,ce?:t,së?t,se?t,cet,sët,set
Chamar,call,??:??; ??:j,na-ëënh,??:j,??j,??j,??j,?ej,ëy,ey,?ej,ëy,ey
Chegar; encontrar,meet; encounter,w?t,,w?t,w?d,w??d,w??d,w?dn,w?d,w?dn,w?t,w?t,w?t
Cheirar,fill up,h??:k?; h??g,matse-h??k,ha?:k?,????:k ?,????k,????k,--,NF,NF,--,NF,NF
Chorar,cry,?o:t; ??d,a-oot,??d; ?o:t,????:t,????t,????t,??t,o?t,??t,??t,ot;o?t,?t??t
Chutar,kick,da:?; da?,,da:?; da?,d??,dæ?,d??,tac,ta?s,ta?s,tac,tas,tas
Coçar 1,itch,c?u:k; c?ug,a-tsuuk,c?u:g,c?u?:k,cu?k,cu?k,c?uk,,,c?uk,suuk,suuk
Coçar 2,itch,???:t; ??:d,,-- ,?i?n?,?i?d,?i?d,,,,,?,?
Colocar,put onto,--,,--,w?ob,w’o?b,w’o?b,w?obm,w?öb,w?obm,wobm,wöm,wobm
Comer 1,eat,w?:h,a-wëh,w?:h,--,,,--,,,--,,
Comer 2,eat,--,,--,w??:d,wæ?d,w??d,w??:dn,,,w?dn,wen,w?dn
Correr,run,--,,--,??x,??x,??x,to?-?oh,,,t?-o??:h,,
Cortar 1,cut (hack),--,,--,te?:?,tæ?,t??,--,,,t?j?,,
Cortar 2,cut (saw),k?a-h??k; k?a-h??g; ?a-h??k,ge-ho?k,h??:k?; h??g,h???:k,h??k,h??k,h???:k,ho??k,h???k,h??k,ho?k,h??k
Costurar,sew,?u:h; ?ug?,,?u:h; ?ug?,--,,,cuh,suh,suh,cuh,suh,suh
Cozinhar,cook,--,,--,--,,,c???:w,ta?asa?w,ta?asa?w,c??w,so?ho?m,s??h??m
Crescer 1,grow,--,,--,--,peg-?a?k,peg?a?k,cap,sap,sap,cap,sap,sap
Cuidar,take care of,--,,--,--,hu?jw?j’,hu?jw?j’,hikej,,,kej,këy,key
Cuspir,spit,c?o: ?; c?? ?,,c??: ?,c???: ?,c???,c???,c???: ç,,,c???:j?,,
Cutucar,poke,ta-tuk; ta-tug,,tug,--,,,--,,,--,,
Dabucuri; dancar,dabucuri; dance,j?bm; j?bm,jëm,j?bm,jabm,jam,jabm,ja?m,ya?m,ya?m,ja?b,,
Dar,give,n??:?; n???:?,,--,n???:?,n????,n????,n???,no?,n??,n???,no’,n?’
Defecar,defecate,ja:?,j?aa,--,j??:?,jæ??,j???,?d???,ye?,y??,j??,ye’,y?’
Deitar 2,lie (on ground),jat; jad,ajat,--,jet,jæt,j?t,j?t,yet,y?t,j?t,yet,y?t
Derramar,spill,b?:h; b?h,,b?:h; b?h,b?h; b??:,b??; b?h,b?? b?h,???h,b?äh,mb??h,???h,bääh,mb??h
Derreter,melt,d???; d??:?,,--,n?????:,n’æ??,n’???,--,,,--,,
Descascar,peel,--,,--,?i??:m?,?i?m’ [wet manioc; banana; etc.],?i?m’ wet manioc banana etc.,c???:m?,,,ci?m?,si?im’,si?im’
Descascar 1,peel,k???p ?; k???b ?,,--,k?ob,kob,kob,k?obm,,,--,,
Descascar 2,peel,?o:?; ?o?:j,,???:j,--,,,--,,,--,,
Dizer,say,n???; n??:,,---,na??:,na??,na??,n???:,noh sa?w,n?h sa?w,---,,
Dormir,sleep,???:h; ?a?h,,?a?:h,?a??:,?a??,?a??,???h,,,???h,o?h,??h
Embrulhar,wrap up,--,,c???,c???,c??,c??,c???,,,--,,
Empurrar,push,--,,--,tu?:j,tuj,tuj,t??:j; tu?:,,,t?j,t?y,t?y
Encontrar,meet,w??:t; w?:d,,w?:d,w??:d,w??d,w??d,--,,,--,,
Enfiar,thread on a string,??:h; ??h,,??:h,??g,??g,??g,ci???,,,--,,
Engasgar,choke,ga?:k,,ga:g,ka??k,ka??k,ka??k,k?a?k,ka?k,ka?k,k?a?k,ka?ak,ka?ak
Engatinhar,crawl,k? a?:k; k?ag,,k?a:g,k?a??:k,,,k?a??k,,,k?a?k,,
Escorregar,slip,c?adup; c?adub,,c?adub,--,,,--,,,--,,
Escrever,write,h?:?; h??,,--,--,,,h??,h???,h???,h??,h?’,h?’
Esfregar 1,scour,wu:k; wug,,--,wug,wug,wug,hi?:k??k,,,h??k,h??k,h??k
Esfregar 2,scour,c?u:k ; c?ug ,a-tsuuk,c?u:g ,c?u?:k ,cu?k,cu?k,--,,,c?uk,suuk,suuk
Esperar 1,wait,c?a-da?; c?a-da:?,,c?a-da:?,d??,dæ?,d??,--,,,--,,
Esperar 2,wait,--,,--,--,,,ju?:,,,ju?,yuh,yuh
Espremer mandioca,squeeze manioc 1,jug?; ju:h,,jug?,--,,,--,,,--,,
Espremer mandioca,squeeze manioc 2,k?a-wo:?; k?a-wo?:?,,--,w?o?:?,w’o??,w’o??,k?o-w?o?,kö?-wöw?,ko?wow?,--,,
Fazer cocegas,tickle,???:t; ??:d,,--,?i?:d,?i?d,?i?d,ci-ci?:dn,si-si?d,sisi?dn,ci-cidn,si-sin,sisidn
Fazer sexo,have sex,--,,--,?a?n,?a?n,?a?n,?a?n,an,an,?a?n,,
Feder,stink,--,,--,d?x,d?x,d?x,???h,,,???h,dooh,nd??h
Ficar,stay,--,,--,tu?:,,,tuh,tu?h,tu?h,tuh,tu,tu
Flatulencia,flatulate,du:?; du?,,c???,t??,t??,t??,t?ç,to?ç,t??ç,t??:j?,,
Flechar,shoot with arrow,--,,--,k?i???,ki??,ki??,k?ig?,k?i?,k?i?,k?ig?,,
Focar,focus?,h??:j; h??:?,,ha?:j?,h???:j?,h??j,h??j,--,,,ha?j?,,
Fumar,smoke,?ahu?:t; ?ahu?:d,,?a-hu?:d,?u?n??,?u?n’,?u?n’,?u?n??,un?,un?,?u?n??,u?n’,u?n’
Inchar,fill,puh; pu:h,da-puuh,pu:h,--,pux,pux,puhu?:,puhu?,puhu?,puh,puhu,puhu
Ir,go,hu??:m; ha?m,a-hõm,ha?:m,ha??:m,ha?m,ha?m,ha??:m,ham,ham,ha?m,ha?m,ha?m
Lamber,lick,d??:p; d??:b,,n??:b,n???p,næ??p,n???p,n???m?,n’em’,n’?m’,--,,
Lavar,wash,c???:t; c???:d,,c???:d,c?id,cid,cid,c?idn ,,,c?idn,siin,siidn
Lavrar,sharpen?,??k; ??g,asëk,??g,??k,??k,??k,c?gn,s??g,s??g?,c?k ,säk,s?k
Mastigar,chew,wa?; ?awa?:?,je wa,?a wa?:?,?a wa?,?aw’,?aw’,??a?w?,ya?aw?,ya?aw?,--,,
Mentir,tell lie,--,,--,t??:x,t??x,t??x,t?h,t?h,t?h,--,,
Mergulhar,submerge,hop; hob,,hob,hop,hop,hop,hop,hö?p,ho?p,hop,höp,hop
Pedir 1,ask for,c???:?; c????:?,,c????:h,--,,,--,,,--,,
Pedir 2,ask for,--,,,--,?a??x,?a??x,?i?:h,,,?ih,ih,ih
Pendurar 1,hang; suspend,d?k; d?g,,d?g,dak,dak,dak,?ak,,,--,,
Pendurar 2,hang; suspend,--,,--,k?a?,ka?,ka?,k?a??,,,k?a??,,
Pilar,pound with pestle,to:k; tog,e-took,tog,tok,to?k,to?k,tok,tö?k,to?k,tok,tök,tok
Plantar,plant,jo:bm,e-joom,jo:bm,ju??:m,ju??m,ju??m,ju??:m,yum,yum,ju?m,yu?m,yu?m
Pular,jump,c??k,,c??g,c??k,c?k,c?k,c???k,,,c???k,sääk,s??k
Puxar,pull,h?:k; h?g,,k?g,x?k,x??k,x??k,k?k,käk,k?k,k?k,käk,k?k
Queimar,burn,h??h; h??:h,,h??:h,h???:,h???,h???,h???:,ho??,h???,h??:,ho?,h??
Querer,want,--,,--,tuk ,tuk,tuk,tuk ,tu?t,tu?t,tuk ,tuk,tuk
Rachar,split,--,,--,--,,,pobm,,,pobm,pöm,pobm
Ralar,grate,h??p; h??b,e-hä?p,ha?b,h??p,h??p,h??p,h??p,h??p,h??p,h??p,h??p,h??p
Rasgar 1,scratch,???:t; ????:d,ka-se?e?t,????:d,--,,,--,,,--,,
Rasgar 2,scratch,--,,--,--,,,c???:w?,,,c??w??,se?w’,s??w’
Raspar 1,scrape,hap,,hab,x?p,xæp,x?p,hap,,,--,,
Raspar 2,scrape,--,,--,--,,,h?w,,,h?w,hew,h?w
Remar 1,paddle,?a-h??; h?:?,hëë,?a-h??,--,,,--,,,--,,
Remar 2,paddle,--,,--,x???:?,xæ???,x????,h??j???,,,h??j???,he?y’,h??y’
Respirar,breathe,--,,ha?g,h?g ???,hæ?g ???,h??g ???,ha??,ha?g,ha?g,ha??,ha?g,ha?g
Roçar 2,clear brush/trees,--,,--,--,,,???t,,,???t,,
Roncar,snore,hu??:k; hu??:g,,h??:g,x???:k,x???k,x???k,hu??:k,,,hu?k,tu?-huk,tu?huk
Roubar,steal,c???:k; c??:g,e-ts?ëëk,c???:k?,c???:k,c??k,c??k,c?e?k,,,c?e?j,s?ëk,s?ek
Saudade,miss (someone; something),k??:bm,,k?a:bm,--,,,--,,,--,,
Secar 1,dry,,,--,x?p ,x??p,x??p,h?p,,,h?p,,
Secar 2,dry,wo:?; wo:j,ha-woonh,wo:j,--,,,--,,,--,,
Segurar,hold,t?dn,,--,t?dn,t?n,t?dn,--,,,­--,,
Sentar,sit,--,,--,p??:bm,pæ?m,p??bm,p??m,pe?m,p??m,p??m,pe?m,p??m
Soluçar,hiccup,--,,--,,,,??-???k,sä-bäk,s?b?k,???k,bääk,mb??k
Soprar 1,blow,hu:h,,--,xu?:?,,,--,,,--,,
